,lv,lvt,tt,hvt,hv,final_mult,alpha,beta,avg,std,skew,kurt,sharpe
31,1.0,1.0,0.33,1.0,1.0,6.442047599999974,0.0002416048234847186,[0.09092435],0.0002697632139375713,0.003698303187855691,-0.01528523169033423,6.106148010352921,-0.010796054697784808
30,1.0,1.0,0.33,1.0,0.66,6.405636000000011,0.0002406344445898521,[0.09156173],0.00026899022419357607,0.0037056338398814346,-0.014460691687299474,6.332595126413251,-0.010983295977883127
29,1.0,1.0,0.33,0.66,1.0,6.355952800000014,0.00023938642880637855,[0.09089204],0.00026753481151113633,0.0036085697399168394,0.06791512364369781,4.873395976328311,-0.011682048282234072
28,1.0,1.0,0.33,0.66,0.66,6.31797430000006,0.00023842494895374788,[0.09130197],0.0002667002831247248,0.0036117401639293007,0.06647506276751156,4.9141906922860175,-0.011902853573818201
15,0.8,1.0,0.33,1.0,1.0,6.250438500000003,0.0002374857088831981,[0.09008371],0.00026538375999872536,0.0036664321001202674,-0.02564347794269584,6.133765020803924,-0.012084374191049334
14,0.8,1.0,0.33,1.0,0.66,6.22085589999999,0.00023665420576882872,[0.09067338],0.0002647348724567632,0.0036721055268602886,-0.023230558746966664,6.368036050256526,-0.012242410970233781
27,1.0,1.0,0.33,0.33,1.0,6.2698950999999985,0.00023729134162384888,[0.09082172],0.00026541794612390405,0.003554940602656895,0.10463878304189853,4.856270665136641,-0.012453752753466807
26,1.0,1.0,0.33,0.33,0.66,6.243011900000037,0.00023657903138323786,[0.09121139],0.00026482631537286315,0.0035591282927380018,0.10293803050529371,4.845434861317579,-0.012605328715272856
13,0.8,1.0,0.33,0.66,1.0,6.168047999999985,0.00023529889632317881,[0.09002512],0.0002631788023018491,0.003575132914586371,0.0588297067441275,4.840691866479105,-0.013009724743670348
25,1.0,1.0,0.33,0.0,1.0,6.169038000000001,0.00023485078530508018,[0.09111965],0.00026306965620238014,0.0035382845722274486,0.11290479721093226,4.983328544614354,-0.0131760575749634
12,0.8,1.0,0.33,0.66,0.66,6.136199599999996,0.00023444364588687665,[0.09048035],0.00026246453193483224,0.0035797380614229525,0.05797061675224845,4.884809741089425,-0.013192519870867017
24,1.0,1.0,0.33,0.0,0.66,6.142455499999996,0.000234192028822696,[0.09128812],0.0002624630740954172,0.0035391233553063958,0.11147145913294894,4.977948994390976,-0.013344328130418484
11,0.8,1.0,0.33,0.33,1.0,6.083725399999986,0.00023318260543099634,[0.08996306],0.00026104329284782913,0.0035210314894437668,0.09684766248374085,4.81422707080637,-0.013816123127745463
10,0.8,1.0,0.33,0.33,0.66,6.062646300000008,0.00023258358432334556,[0.09037201],0.0002605709193642299,0.0035260146939626222,0.09565603045228856,4.800596024448322,-0.013930565338405386
23,1.0,0.8,0.33,1.0,1.0,5.862263900000032,0.000228027381052524,[0.09181352],0.0002564611365267451,0.0037011636899562626,-0.020372582513546622,6.073748002887207,-0.014381736495566186
9,0.8,1.0,0.33,0.0,1.0,5.979551599999947,0.00023059976859690612,[0.09022346],0.00025854109968651056,0.003502785532421849,0.10492752104015095,4.93965222360788,-0.0146024349143575
8,0.8,1.0,0.33,0.0,0.66,5.96356249999996,0.00023016468592633384,[0.09043612],0.0002581718736025743,0.0035052709855338195,0.103057373953713,4.931662707798155,-0.014697415421716164
22,1.0,0.8,0.33,1.0,0.66,5.784898700000023,0.00022598488968589395,[0.0924423],0.00025461337362418963,0.0037086021927880027,-0.017295181977542873,6.304916297324366,-0.014851127447848302
21,1.0,0.8,0.33,0.66,1.0,5.791606300000045,0.00022598971750945645,[0.09182283],0.0002544263585632881,0.003613188913118005,0.062798809333459,4.8408327258896895,-0.015295059352895822
7,0.8,0.8,0.33,1.0,1.0,5.705180700000008,0.00022433216078753372,[0.09100029],0.0002525140673083182,0.00367045067475905,-0.028123508958885955,6.088186235401931,-0.015577441355505614
20,1.0,0.8,0.33,0.66,0.66,5.719018400000048,0.00022408063251405286,[0.09230555],0.00025266676659350316,0.0036189231847582166,0.06122062222061054,4.87767445751997,-0.015757043722098255
6,0.8,0.8,0.33,1.0,0.66,5.630193300000008,0.00022229233339873006,[0.09163959],0.00025067222553890164,0.0036774777129974837,-0.025869768918157773,6.312222840921683,-0.016048519259589625
19,1.0,0.8,0.33,0.33,1.0,5.711874800000043,0.00022386376709833896,[0.09174543],0.00025227643552727636,0.0035594638950315867,0.09921565492518115,4.827915778074482,-0.01612991832717201
5,0.8,0.8,0.33,0.66,1.0,5.629654400000019,0.00022213537276258427,[0.09095806],0.000250304201913788,0.0035801283610560207,0.05291348099384086,4.816912365713921,-0.01658770008775571
18,1.0,0.8,0.33,0.33,0.66,5.639295500000041,0.00022195192479155756,[0.09213549],0.00025048539279339124,0.0035634131529447247,0.09664359950979684,4.8118913906586105,-0.016614661872799367
17,1.0,0.8,0.33,0.0,1.0,5.609535800000013,0.00022115913839681,[0.09203835],0.0002496625219543613,0.0035420533150358085,0.10632118924880576,4.949699350369577,-0.016947168816877453
4,0.8,0.8,0.33,0.66,0.66,5.558416400000023,0.00022019790487599254,[0.09149536],0.0002485331310573782,0.003587525361950272,0.05090652904674483,4.859015991315198,-0.017047173250373523
3,0.8,0.8,0.33,0.33,1.0,5.566173699999963,0.0002203518419355422,[0.09095553],0.0002485198871522824,0.003528619496530576,0.09065565666543678,4.792240017320145,-0.017335507654059952
16,1.0,0.8,0.33,0.0,0.66,5.549317300000009,0.00021958931189223018,[0.09221365],0.00024814698339695846,0.003544300201063478,0.10512768920828472,4.939356642608209,-0.017364024082166734
2,0.8,0.8,0.33,0.33,0.66,5.484678600000032,0.00021817069908542402,[0.09129732],0.00024644459254512805,0.0035305003862017687,0.08787146524358397,4.772653483106321,-0.017914090916037906
1,0.8,0.8,0.33,0.0,1.0,5.45916400000002,0.00021746985373623983,[0.09118613],0.0002457093137419149,0.0035086298442879023,0.09881943381676353,4.915133271283345,-0.018235318782601335
0,0.8,0.8,0.33,0.0,0.66,5.4006706000000095,0.00021590297334768546,[0.09136072],0.00024419650162062976,0.003510842298920378,0.0962722330884926,4.903146058169767,-0.01865472449222897
